"TA_CODE","TA_NAME","TA_DESC","QDIAL","TA_VERSION","STATE","CATEGORY","AREA","TA_CREATE","TA_LASTMOD"
"111FWFBRT144","River Brit from South Bridge to A35 Roundabout","South Street, Skilling Hill Road, West Bay Road and Flood Lane in Bridport","166157","6","A","Flood Warning","Wessex","2011-10-20","2011-11-03"
"013FWFCH45","Ditton Brook at Halebank","Areas at risk include land and property on Hale Road, Harrison Street, Lovel Terrace, Clapgate Crescent and some properties on Burmarsh Lane","305010","6","A","Flood Warning","Greater Manchester, Merseyside and Cheshire","2022-01-25","2022-03-02"
"054FWTBT2A","Riverside properties along the tidal River Yare including Cantley, Brundall and Reedham","Riverside properties along the tidal River Yare including Cantley, Brundall and Reedham","313330","7","A","Flood Warning","East Anglia","2017-06-02","2017-08-02"
"123FWF204","River Worth at Damems Road to Keighley Railway Station","Keighley including the area along the rail line from Damems Station to Keighley Rail Station. Includes the former Ingrow Mill site, Mills on South Street, Marriner's Walk and The Walk","304009","7","A","Flood Warning","Yorkshire","2016-05-18","2016-05-18"
"013FWFGM30","River Tame at Meadow Industrial Estate","Areas at risk include properties at Meadow Industrial Estate, between the M60 and Tiviot Way","143147","6","A","Flood Warning","Greater Manchester, Merseyside and Cheshire","2021-04-23","2021-04-23"
"033FWF3SENCE001","River Sence from Temple Mill to Sheepy Magna","River Sence from Temple Mill to Sheepy Magna including Sibson Mill, Lovetts Bridge and Sheepy Parva","308124","6","A","Flood Warning","West Midlands","2017-05-25","2017-08-02"
"052FWFMOGBR1","Low lying areas close to the River Great Ouse at Renhold, Great Barford, Tempsford and Roxton","Meadow Lane at Cardington, Water Lane at Renhold, Old Mills Cottage and New Road at Great Barford, Church Street and Ford Lane at Tempsford, and Great North Road between Roxton and Tempsford","312169","4","A","Flood Warning","East Anglia","2019-07-17","2019-08-28"
"062FWF46Harpendn","River Lee at Harpenden","River Lee at Harpenden and Wheathampstead including East Hyde","172802","17","A","Flood Warning","Hertfordshire and North London","2022-09-29","2022-11-02"
"123FWF205","North Beck at Goose Eye, Holme House Lane","Goose Eye including the area along North Beck from the weir above Goose Eye Bridge to farmland downstream of Goose Eye including Holme House Lane","304010","7","A","Flood Warning","Yorkshire","2021-12-17","2022-03-02"
"121FWF204","River North Tyne at Falstone","Properties at Stannershaugh Farm, Falstone Farm and those properties situated around The Croft","132001","6","A","Flood Warning","North East","2015-11-11","2016-02-24"
"123FWF207","River Worth at Worth Village and Aireworth","Keighley including properties and businesses in the Worth Village area. Includes those on streets off Dalton Lane, Worth Bridge Road and Aireworth Road","304012","7","A","Flood Warning","Yorkshire","2015-04-02","2015-06-24"
"012FWFL41A","Pimlico Brook at Clitheroe, along Warwick Drive and Dorset Drive","Properties on Warwick Drive and Dorset Drive","302160","6","A","Flood Warning","Cumbria and Lancashire","2020-01-07","2020-03-18"
"052FWFUONBH","River Great Ouse at New Bradwell and Haversham","Newport Road and Wooton Court in New Bradwell, Haversham Road and Haversham Mill in Haversham","312037","2","A","Flood Warning","East Anglia","2019-07-16","2019-08-28"
"113FWFMOLE02","River Mole at Alswear","Riverside locations and roads on the River Mole between South Molton and Newnham Bridge, including low lying properties at Alswear, Riverside Caravan Park, South Molton Sewage Disposal Works, and Mole Bridge Garage","311023","1","A","Flood Warning","Devon, Cornwall and the Isles of Scilly","2021-07-16","2021-08-18"
"031FWFSE535","River Severn at Upton upon Severn","River Severn at Upton upon Severn including properties in Church Street, High Street, Old Street, Longfield, Ham View, William Tennant Way, Lancaster Close and Upton Gardens","309132","1","A","Flood Warning","West Midlands","2020-07-03","2020-08-26"
"033FWF3SWARB01","River Swarbourn at Woodlane Bridge, Yoxall","River Swarbourn at Woodlane Bridge, Yoxall","308132","6","A","Flood Warning","West Midlands","2013-07-31","2013-10-31"
"052FWFIVSEBE","River Ivel at Seddington and Beeston","High Road in Seddington and The Green, The Cloches, The Knolls, Meadow Close, Lime Avenue, Ash Close and Elder Close in Beeston","312201","6","A","Flood Warning","East Anglia","2021-10-13","2021-11-24"
"011FWFNC3C","River Eden at Carlisle, Rickerby Village","Low lying roads, agricultural land, residential and commercial properties around the River Eden at Rickerby Village","302035","14","A","Flood Warning","Cumbria and Lancashire","2021-04-14","2021-05-19"
"122FWF236","River Swale at Thornton Bridge","Properties and roads around Thornton Bridge","303107","6","A","Flood Warning","Yorkshire","2021-07-15","2021-11-24"
"053FWFPECR16","Areas near Stallingborough North Beck and Oldfleet Drain","Areas near Stallingborough North Beck and Oldfleet Drain including Stallingborough and Healing","307166","1","A","Flood Warning","Lincolnshire and Northamptonshire","2020-09-11","2020-11-25"
"061FWF22XThlRdg","Properties closest to the River Kennet at the Burghfield, Southcote, Coley and Holybrook areas","Properties closest to the River Kennet between Shenfield Mill, Theale and Reading town centre including, Burghfield Lock, Burghfield Bridge, Bear Wharf and Kings Road areas and those closest to the Holy Brook in Calcot, Southcote and Coley areas","173149","5","A","Flood Warning","Thames","2020-10-12","2020-11-25"
"061FWF23XMhead","Moorings and properties closest to the River Thames between Maidenhead, Windsor and Eton","River Thames from Maidenhead down to Romney Lock including moorings on and those properties closest to the river","173132","5","A","Flood Warning","Thames","2020-10-09","2020-11-25"
"061FWF23XReadCav","Properties closest to the River Thames from Scours Lane, Reading to Caversham Lakes","River Thames from Scours Lane, Reading to Caversham Lakes, including the Chazey Court Farm, Caversham Bridge, Fry's Island, Reading Bridge areas and parts of Queen's Road and Mill Green areas of Lower Caversham","173130","2","A","Flood Warning","Thames","2014-04-10","2014-07-02"
"031FWBSE590","River Severn at Gloucester","River Severn at Gloucester","309001","7","A","Flood Warning","West Midlands","2015-07-21","2015-10-22"
"121FWF227","River North Tyne at Kielder Butteryhaugh","Properties and low lying areas around South End, South Waterside, Hatchery Cottages, The Anglers Arms and The Bakethin Fishing Lodge","132000","6","A","Flood Warning","North East","2021-04-06","2021-05-19"
"034FWFDEDERWATER","River Derwent at Derby City Water Treatment Works","River Derwent at Derby City Water Treatment Works including Raynesway and Spondon Industrial Area","306051","6","A","Flood Warning","East Midlands","2016-07-26","2017-10-18"
"061FWF12Glyme","River Glyme at Woodstock","River Glyme at Woodstock, from Glympton including Wootton down to and including The Lince near Bladon","171084","4","A","Flood Warning","Thames","2011-07-18","2011-11-03"
"034FWFOUNETHFLD","Ouse Dyke and River Trent at Netherfield","Ouse Dyke and River Trent at Netherfield, including Drummond Avenue, Rochester Avenue and Kingsley Drive","306217","1","A","Flood Warning","East Midlands","2021-10-19","2021-11-24"
"031WAF117","River Arrow in Herefordshire","River Arrow in Herefordshire","209012","7","A","Flood Alert","West Midlands","2013-03-22","2013-06-20"
"062FWF36Southall","River Crane at Southall","The River Crane at Southall including Hayes","172605","13","A","Flood Warning","Hertfordshire and North London","2022-04-14","2022-05-25"
"031WAF200","Ledwyche Brook and River Rea","Ledwyche Brook and River Rea","209017","2","A","Flood Alert","West Midlands","2013-01-18","2013-01-18"
"033WAF201","Upper Avon River Swift and Clay Coton Brook","Low-lying land and roads between Stanford and Rugby including Lilbourne and Clay Coton areas","208000","14","A","Flood Alert","West Midlands","2014-04-15","2014-07-03"
"033WAF203","River Leam and River Itchen","Low-lying land and roads between Grandborough and Leamington, including Long Itchington","208002","9","A","Flood Alert","West Midlands","2015-03-26","2015-06-25"
"061FWF24Twyford","River Loddon at Twyford, Charvil and Wargrave","River Loddon at Twyford, Charvil and Wargrave including Loddon Drive, Berkshire","315022","5","A","Flood Warning","Thames","2016-04-06","2016-07-06"
"123FWF280","River Spen at Hunsworth and Moorend","Hunsworth and Moorend including Whitehall Road, Hunsworth Lane, Riverside Drive, Balme Road, Brooklyn Road, Cliffe Lane and Brookfield View","137416","8","A","Flood Warning","Yorkshire","2021-07-30","2021-11-24"
"061FWF24Wokinghm","Emm Brook at Wokingham","Emm Brook at Wokingham including Hurst, Berkshire","315023","5","A","Flood Warning","Thames","2016-04-06","2016-07-06"
"061FWF29Addstne","Addlestone Bourne at Addlestone","Addlestone Bourne at Addlestone, including the Crockford Bridge, Corrie Road, Bourneside Road, Alexandra Road areas, as well as the Bourne and Weybridge Business Park, Albert Road, Addlestone Road and Meadowlands Park areas","173401","7","A","Flood Warning","Thames","2017-05-24","2017-08-02"
"112FWFBFR30B","Bristol Floating Harbour and the River Avon at Bristol, low lying properties set back from the river","Low lying properties set back from the river including Victoria Street, Victoria Terrace and Feeder Road on the Feeder Canal. Temple Back on the Harbour and Sparke Evans Park area, Arnos Vale and Albert Road on the River Avon","164244","8","A","Flood Warning","Wessex","2018-01-11","2018-02-21"
"112FWFBIS10A","River Biss upstream and downstream of Trowbridge","Hawkeridge, Dursley, Yarnbrook, Biss Meadows Country Park and downstream of Trowbridge at Trowle Bridge and Bradford Road","164224","2","A","Flood Warning","Wessex","2015-11-17","2016-02-24"
"112FWFDON10B","Doniford Stream at Sampford Brett and upstream properties","Roebuck Gate to Sampford Brett Bridge, including Water Bridge, Kingswood, Cottiford and riverside properties at Sampford Brett","164195","5","A","Flood Warning","Wessex","2011-11-30","2012-02-29"
"112FWFDON20B","Doniford Stream at Doniford","Liddymore Lane, Watery Lane, Doniford Orchard and Doniford Meadow","164230","5","A","Flood Warning","Wessex","2011-11-30","2012-02-29"
"061FWF29ThorpGrn","Chertsey Bourne at Thorpe Green","Chertsey Bourne at Thorpe Green including Green Road and Trumps Green, Surrey","173422","6","A","Flood Warning","Thames","2017-05-24","2017-08-02"
"065FAG003","Groundwater flooding in villages surrounding Andover","Communities at risk of groundwater flooding surrounding Andover, including Appleshaw, Hatherden, Penton Mewsey, Redenham, Weyhill Bottom, Kimpton, Amport and Monxton","216002","8","A","Flood Alert","Solent and South Downs","2020-07-14","2020-08-26"
"031FWBSE570","River Severn at Sandhurst and Maisemore","River Severn at Sandhurst and Maisemore including Walham and Severnside Farm","309000","6","A","Flood Warning","West Midlands","2019-10-04","2019-12-10"
"061FWF30Byfleet","River Wey at Wisley and Byfleet","River Wey at Wisley, Pyrford and Byfleet including, Wisley Village, Pyrford Lock and Marina, the Church Road, Oyster Lane, High Road & Fullerton Road and Brooklands areas of Byfleet","173302","11","A","Flood Warning","Thames","2021-10-18","2021-11-24"
"123FWF281","River Spen at Cleckheaton","Cleckheaton including St Peg Close, St Peg Lane, Thornton Street, Rawfolds Way and Cartwright Street","137417","8","A","Flood Warning","Yorkshire","2021-11-05","2021-11-24"
"123FWF282","River Spen at Littletown","Littletown including Radulf Gardens and Carr Street","137419","8","A","Flood Warning","Yorkshire","2021-07-30","2021-11-24"
"012FWFL41B","Pimlico Brook at Clitheroe, between Longsight Ave, Princess Ave and Chatburn Rd","Properties on Longsight Ave, Princess Ave, Chatburn Rd and Causeway Croft","302161","6","A","Flood Warning","Cumbria and Lancashire","2020-01-07","2020-03-18"
"034FWFLEOLDBASFD","Rivers Leen at Old Basford, New Basford and Bobbers Mill","Rivers Leen at Old Basford, New Basford and Bobbers Mill including Works at New Basford","306093","7","A","Flood Warning","East Midlands","2020-08-14","2020-08-14"
"061FWF17Letcombe","Letcombe Brook at Letcombe Bassett and Letcombe Regis","Letcombe Brook at Letcombe Bassett and Letcombe Regis","171043","4","A","Flood Warning","Thames","2011-07-18","2011-11-03"
"064FWF6A6","North and South Streams from Eastry and Northbourne to Sandwich","North and South Streams from Eastry and Northbourne to Sandwich, including Hacklinge","317022","10","A","Flood Warning","Kent, South London and East Sussex","2021-07-07","2021-08-18"
"012FWFGM4B","Pearl Brook at Horwich, Bridge Street, Lee Lane, Winter Hey Lane and Greenstone Avenue areas","Horwich town centre including Bridge Street, Church Street, Longworth Rd close to the junction with Lee Lane. Winter Hey Lane and adjacent roads from Lee Lane to Robinson Street. Mason Street and roads in the Greenstone Ave and Avonhead Close areas","302235","2","A","Flood Warning","Cumbria and Lancashire","2022-03-18","2022-05-25"
"121FWF205","River Tyne and Cockshaw Burn at Tyne Green Mews Hexham","Properties around Tyne Green Mews","301078","2","A","Flood Warning","North East","2018-09-26","2018-11-28"
"061FWF04ACrucis","Ampney Brook from Ampney Crucis to Sheeppen Bridge","Ampney Brook from Ampney Crucis to Sheeppen Bridge near Latton","171483","2","A","Flood Warning","Thames","2011-07-18","2011-11-03"
"113FWF2I1A","River Sid at Sidbury and Sidford","riverside properties and roads in Sidbury and Sidford, including the A375 at Sidbury and the A3052 at Sidford","162092","8","A","Flood Warning","Devon, Cornwall and the Isles of Scilly","2016-03-02","2016-07-06"
"061FWF30SWey","River Wey at Passfield Mill Business Park, Standford, Frensham and Millbridge","River Wey South Branch at Passfield Mill Business Park, Standford, Frensham and Millbridge, Hampshire and Surrey","173342","7","A","Flood Warning","Thames","2021-07-22","2021-08-18"
"061FWF30Weybrdge","River Wey at Weybridge","River Wey at Weybridge, Wey Meadows and Hamm Court, Surrey","173301","7","A","Flood Warning","Thames","2021-07-22","2021-08-18"
"055FWFPMNE07","Areas near the River Nene from Thorpe Waterville to Eaglethorpe","Areas near to the River Nene from Thorpe Waterville to Eaglethorpe including Thorpe Waterville, Wadenhoe, Oundle, Cotterstock and Tansor","307118","4","A","Flood Warning","Lincolnshire and Northamptonshire","2021-10-12","2021-11-24"
"061WAF23PrlyPang","River Thames from Pangbourne to Purley","River Thames from Pangbourne to Purley including Pangbourne, Whitchurch and Purley","171215","6","A","Flood Alert","Thames","2015-07-21","2015-10-22"
"065WAF141","Beaulieu River","Beaulieu River from Hartford Bridge to Beaulieu","216102","10","A","Flood Alert","Solent and South Downs","2017-11-06","2018-02-21"
"065WAF214","Gurnard Luck","Gurnard Luck, Gurnard","216077","11","A","Flood Alert","Solent and South Downs","2017-11-06","2018-02-21"
"012WACCF","Coast from Cockerham to Fleetwood","Area from Cockerham to Fleetwood including Knott-End-on-Sea, Staynall, Preesall Park, Pilling Lane, Pilling Moss, Stake Pool, Smallwood Hey, Pilling, Dam Side and Winmarleigh Moss","202001","14","A","Flood Alert","Cumbria and Lancashire","2018-06-12","2018-06-12"
"012WACLS","Coast at Lytham St Annes","Lytham, Lytham Green, Saltcotes, Lytham Moss, Lower Ballam and Warton","202004","14","A","Flood Alert","Cumbria and Lancashire","2018-06-12","2018-06-12"
"054WACDV4A","The tidal Deben estuary","The tidal Deben estuary, from Felixstowe Ferry and Bawdsey to Ufford","213578","11","A","Flood Alert","East Anglia","2017-12-18","2017-12-18"
"122WAF934","Lower Dunsforth Access","Low lying land and local roads around Lower Dunsforth, including Ings Road, Mary Lane and the Ings","135307","3","A","Flood Alert","Yorkshire","2017-12-13","2018-02-21"
"112WAFTMBC","Midford Brook catchment","River Cam, Wellow and Midford Brooks and tributaries","210006","8","A","Flood Alert","Wessex","2018-01-11","2018-02-21"
"112WAFTRBC","River Biss catchment","River Biss and tributaries between Westbury and Trowbridge","210008","9","A","Flood Alert","Wessex","2018-01-11","2018-02-21"
"122FWF767","River Ouse at Selby Dam","Properties adjacent to Selby Dam","303087","8","A","Flood Warning","Yorkshire","2018-06-15","2018-08-24"
"034FWFLERADFORD","River Leen at Radford","River Leen at Radford including properties around Triumph Road","306094","10","A","Flood Warning","East Midlands","2020-08-14","2020-08-14"
"062FWB36Islewort","Tidal River Crane at Isleworth","The Tidal River Crane at Isleworth","314000","15","A","Flood Warning","Hertfordshire and North London","2022-09-28","2022-11-02"
"112WATSOM2","Somerset coast at Dunster Beaches, Blue Anchor, Steart, Stolford and Brean","Coastal areas at Dunster Beaches, Blue Anchor, Steart, Stolford and Brean","210015","3","A","Flood Alert","Wessex","2018-01-11","2018-02-21"
"112WATSOM4","Somerset coast at Clevedon","Coastline between Gullhouse Point and Marine Parade","210017","4","A","Flood Alert","Wessex","2018-01-11","2018-02-21"
"054FWFNF4C","The River Wensum from Swanton Morley to Costessey","The River Wensum from Swanton Morley, to and including Costessey","313439","8","A","Flood Warning","East Anglia","2019-04-05","2019-05-29"
"054FWFNF4D","The River Tud from East Dereham to New Costessey","The River Tud from East Dereham, to and including New Costessey","313441","8","A","Flood Warning","East Anglia","2019-04-05","2019-05-29"
"122FWF774","River Foss downstream of Yearsley Baths","Riverside homes and businesses on the River Foss downstream of Yearsley Baths","303115","4","A","Flood Warning","Yorkshire","2021-04-26","2021-05-19"
"113FWF2D2A","Kenwith Stream at Bideford","Northam Road, Kingsley Road, Alexandra Terrace, Elmdale Road, Newton Road, Meadowville Road, Copps Close and Stanhope Terrace in Bideford","162031","7","A","Flood Warning","Devon, Cornwall and the Isles of Scilly","2018-06-11","2018-08-22"
"121FWF209","River North Tyne at Wark","Properties at Wark including Riverside Cottage, The Old School House, Wark Sports Club and Sawmill Garage at Warksburn Bridge","301090","1","A","Flood Warning","North East","2021-06-28","2021-08-18"
"121FWF220","River Wear at Witton-le-Wear","Properties and low lying areas around Lowgarth Farm, North Lodge, West Lodge and Durham Wildlife Trust","132703","4","A","Flood Warning","North East","2011-10-28","2011-10-28"
"121FWF221","River Tyne at Wellbank Riverside and The Mill, Corbridge","Properties and low lying areas around Wellbank, St. Andrews Terrace and The Mill, Corbridge","301067","9","A","Flood Warning","North East","2021-07-08","2021-08-18"
"122FWF023","Bardsey Beck and Keswick Beck at Bardsey, Keswick and Rigton","Properties along Grange Close and the surrounding area, including Keswick and Rigton","310357","1","A","Flood Warning","Yorkshire","2021-06-03","2021-08-18"
"062FWF28Hemel","River Gade at Hemel Hempstead","The River Gade at Hemel Hempstead","172717","18","A","Flood Warning","Hertfordshire and North London","2022-09-08","2022-11-02"
"033FWF3ASHBOURNE","Henmore Brook at Ashbourne","Henmore Brook at Ashbourne including Sturston Mill, Ashbourne Town Centre and Henmore Trading Estate","308022","5","A","Flood Warning","West Midlands","2017-06-09","2017-06-09"
"033WAF313","River Blithe and River Swarbourn","Low-lying land and roads between Blythe Bridge and Nethertown on the River Blithe and between Hoar Cross and Yoxall on the River Swarbourne","208014","10","A","Flood Alert","West Midlands","2014-04-15","2014-07-03"
"121FWF229","River Gaunless at South Church","Properties on Ash Green Way, Main Street and St Andrews Road and streets adjacent to them","133003","7","A","Flood Warning","North East","2019-07-04","2019-08-28"
"122FWF025","Widdale Beck at Appersett","Properties within the village of Appersett
","310359","1","A","Flood Warning","Yorkshire","2022-03-24","2022-05-25"
"062FWF28KingsLan","River Gade at Kings Langley and Croxley","The River Gade at Kings Langley and Croxley, including Abbots Langley","172719","18","A","Flood Warning","Hertfordshire and North London","2022-11-02","2022-11-02"
"033WAF316","River Hamps and River Manifold","Low-lying land and roads on the River Hamps and Manifold including Waterhouses","208016","7","A","Flood Alert","West Midlands","2014-04-15","2014-07-03"
"122FWF831","Cock Beck at Stanks","Properties at Stanks along Adams Grove, Barwick Road and Stanks Drive","301338","2","A","Flood Warning","Yorkshire","2022-03-28","2022-05-25"
"065WAF443","Lower Ouse","Lower Ouse and tributaries from Barcombe Mills to Newhaven","216095","9","A","Flood Alert","Solent and South Downs","2020-07-22","2020-08-26"
"122FWF252","Brough Beck at Catterick - Mowbray Road and Brough Meadows","Properties in the northern area of Catterick, including Mowbray Road, Brough Meadows, Willow View and Swale Lane","303033","5","A","Flood Warning","Yorkshire","2011-02-22","2011-02-22"
"062FWF28Watford","River Colne at Watford","The River Colne at Watford including Bushey","172729","18","A","Flood Warning","Hertfordshire and North London","2022-09-08","2022-11-02"
"031FWFIS20","River Isbourne at The Hollows, Sedgeberrow","River Isbourne at The Hollows, Sedgeberrow","309034","3","A","Flood Warning","West Midlands","2013-06-06","2013-06-06"
"052FWFMOFP","River Great Ouse at Felmersham, Sharnbrook, Bletsoe, Pavenham and Milton Ernest","The High Road in Felmersham, High Street in Sharnbrook, Rushden Road in Bletsoe, Close Road and Bedford Road in Pavenham, and Bedford Road in Milton Ernest","312131","3","A","Flood Warning","East Anglia","2019-07-16","2019-08-28"
"122FWF016","River Crimple at Pannal and Burn Bridge","Properties on Station Road, Malthouse Lane and Crimple Meadows","310349","1","A","Flood Warning","Yorkshire","2021-01-08","2021-02-17"
"031FWFTE110","River Teme at Bransford","River Teme at Bransford","309095","3","A","Flood Warning","West Midlands","2013-06-06","2013-06-06"
"112FWTBRE02","Somerset coast at Brean, Red Road and Weston Road areas","Hurn Lane to Brean Down including Red Road, Ham Road and Weston Road","164270","1","A","Flood Warning","Wessex","2012-03-29","2012-06-27"
"122FWF807","River Rye at Nunnington","Properties in the village of Nunnington including Low Street and surrounding farmland","301314","1","A","Flood Warning","Yorkshire","2020-06-23","2020-08-26"
"012FWFL69A","Boyces Brook and Duddel Brook at Ribchester, Ribblesdale Road and Church Street areas","Boyces Brook and Duddel Brook at Ribchester, Ribblesdale Road, Church Street and Sunnyside Avenue areas","302246","1","A","Flood Warning","Cumbria and Lancashire","2022-04-01","2022-05-25"
"122FWF810","Costa Beck at Costa Mills","Properties in the village of Costa Mills","301317","1","A","Flood Warning","Yorkshire","2020-06-23","2020-08-26"
"122FWF811","River Dove at Salton","Properties in the village of Salton","301318","1","A","Flood Warning","Yorkshire","2020-06-23","2020-08-26"
"033FWF3BLYTH007","River Blythe at Blyth End","River Blythe at Blyth End including properties off the Blythe Road area","308044","4","A","Flood Warning","West Midlands","2011-03-22","2011-06-22"
"123FWF172","River Aire at Sovereign Street, The Calls and Clarence Dock","Leeds including the Embankment, the Calls area and Clarence Dock area bounded by Black Bull Street, Sayner Street and South Accommodation Road and the River Aire","137089","13","A","Flood Warning","Yorkshire","2017-08-25","2017-10-18"
"122FWF816","River Seven at Normanby","Properties in the village of Normanby including Malton Road and Barugh Lane","301323","1","A","Flood Warning","Yorkshire","2020-06-23","2020-08-26"
"011FWFNC3DH","River Caldew at Carlisle, Denton Holme, Bousteads Grassing, James Street","Low lying area beside the River Caldew between Holme Head Bay and Nelson Bridge, including Denton Holme, Bousteads Grassing and James Street","302038","6","A","Flood Warning","Cumbria and Lancashire","2020-12-31","2021-02-17"
"121FWF237","River Tyne at Corbridge","Properties and low lying areas around Station Road, Little Croft, The Stanners, Cemetery Lodge and The Willows","301068","9","A","Flood Warning","North East","2021-07-08","2021-08-18"
"112FWFSFR10A","Somerset Frome from Witham Friary to Frome","Witham Friary to Wallbridge including Bullsbridge Farm, Blatchbridge Mill, Feltham Bridge, Wallbridge Mills, Harris Close, Tucker Close, Waters Edge, River Walk, Ellworthy Court and the A362 at Wallbridge","164064","8","A","Flood Warning","Wessex","2016-05-31","2016-10-26"
"113FWF2C0C","River Dart from Buckfastleigh to Totnes, including Staverton","Staverton, and riverside locations and roads between Buckfastleigh and Totnes","162170","1","A","Flood Warning","Devon, Cornwall and the Isles of Scilly","2011-08-03","2011-11-03"
"034FWFTRCOLWICK","River Trent at Colwick and Victoria Park","River Trent at Colwick and Victoria Park, including Colwick Industrial Estate and Colwick Vale","306152","10","A","Flood Warning","East Midlands","2021-10-19","2021-11-24"
"034FWFTRATTBRGH","Rivers Trent and Erewash at Chilwell and Attenborough","Rivers Trent and Erewash at Chilwell including Attenborough and areas near to the Sewage Works and Chilwell Manor Golf Club","306139","10","A","Flood Warning","East Midlands","2017-08-22","2017-10-18"
"011FWFNC42A","Brampton Beck at Brampton","Brampton Beck at Brampton, Hemblesgate Court, Craw Hall, Main Street, Beck Riggs and Townfoot","302227","1","A","Flood Warning","Cumbria and Lancashire","2021-07-13","2021-08-18"
"062FWF48Stevenag","Stevenage Brook at Stevenage","The Stevenage Brook at Stevenage including Hooks Cross","172482","12","A","Flood Warning","Hertfordshire and North London","2022-09-29","2022-11-02"
"034FWFWRASFRDBY","River Wreake at Asfordby","River Wreake at Asfordby including areas around the Wash Stones, Lakeside Lodge and The Valley","306195","7","A","Flood Warning","East Midlands","2018-04-19","2018-05-24"
"121FWF234","Oakley Cross Beck at West Auckland","Properties and low lying areas around Chapel Street, Copeland Road, Darlington road, Front Street, Katrine Walk, Lomond Walk, Montieth Close, New Street, Leven Road, Robson Road, Oakley Grange, Oakley Manor, Oakley Green and Staindrop Road","133002","5","A","Flood Warning","North East","2013-07-18","2013-10-30"
"062FWF51Claverin","River Stort at Clavering and Manuden","The River Stort at Clavering and Manuden","172121","16","A","Flood Warning","Hertfordshire and North London","2022-10-04","2022-11-02"
"031FWFSE500","River Severn at Uckinghall","River Severn at Uckinghall","309078","4","A","Flood Warning","West Midlands","2020-07-03","2020-08-26"
"065FWF1004","Freshfield Bridge to Sharpsbridge","River Ouse from Freshfield Bridge to Sharpsbridge including Sheffield Park Station and Fletching Mill","316054","7","A","Flood Warning","Solent and South Downs","2019-06-04","2019-08-28"
"123FWF284","River Spen from Wormald Street to Spen Vale Street","Properties along Wormald Street, Boundary Street, Union Street, Milton Road and Spen Vale Street","137421","9","A","Flood Warning","Yorkshire","2021-07-30","2021-11-24"
"065WAC403","Selsey Bill to Elmer","Coastal areas between Selsey Bill and Elmer, including Pagham, Sidlesham and Bognor","216029","14","A","Flood Alert","Solent and South Downs","2020-07-23","2020-08-26"
"112FWFISL10C","River Isle at Ilminster","Rose Mills Industrial Estate, Hort Bridge, Station Road including Holway House Park, Railway Cuttings, Home Farm Way including Home Farm Park, Green Lane, The Old Orchard and Winterhay Lane including the Manor Farm area","310031","1","A","Flood Warning","Wessex","2022-11-02","2022-11-02"
"013FWFGM62","River Tame at Dukinfield around Wainwright Street and Furnace Street","Areas at risk include higher parts of Wainwright Street, Park Road, Furnace Street and Bow Street","143077","4","A","Flood Warning","Greater Manchester, Merseyside and Cheshire","2020-10-13","2020-11-25"
"112FWFPAR10A","River Parrett (upper) from South Perrott to Thorney","South Perrott to Thorney including Gawbridge Mill and Farms around Town Tree Lane","164028","7","A","Flood Warning","Wessex","2019-03-20","2019-05-29"
"112FWFSAV10A","Sherston Avon from Luckington to Malmesbury","Sherston Avon from Luckington to upstream of Malmesbury including Brook End on the Luckington Brook, Sherston and Easton Grey","164160","6","A","Flood Warning","Wessex","2018-01-11","2018-02-21"
"113FWF2D0B","River Torridge (Upper) from Bradford to Dolton","riverside locations and roads between Bradford and Dolton, including Dippermill, Black Torrington, Sheepwash and the A386 at Hele Bridge near Hatherleigh","162024","8","A","Flood Warning","Devon, Cornwall and the Isles of Scilly","2016-03-02","2016-07-06"
"123FWF133","River Aire at Central Castleford","Castleford including Savile Road, Aire Street, Bridge Street, Francis Street, Queen Street, School Street, Princess Street, Smith Street and Green Lane","137161","14","A","Flood Warning","Yorkshire","2021-05-25","2021-08-18"
"033WAF320","Lower Dove Brooks in Staffordshire","Low-lying land and roads on the Picknall Brook, Marchington Brook and Rolleston Brook","208020","10","A","Flood Alert","West Midlands","2014-04-15","2014-07-03"
"112FWFSAV20A","Sherston Avon at Malmesbury","Westport Bridge, The Maltings, St Johns Bridge, St Johns Street, Inner Silk Mills and The Mulberries","164161","5","A","Flood Warning","Wessex","2016-07-27","2016-10-26"
"034WAF431","River Ecclesbourne in Derbyshire","River Ecclesbourne in Derbyshire including Snake Lane, Park Road, Wirksworth Road and Town Street","206022","5","A","Flood Alert","East Midlands","2021-07-27","2021-08-18"
"051WACDV5B1","The Essex coast from Leigh on Sea, to and including, Hadleigh Marshes, and Two Tree Island","The Essex coast from Leigh on Sea, to and including, Hadleigh Marshes, and Two Tree Island","213681","2","A","Flood Alert","East Anglia","2017-05-30","2017-08-02"
"062FWF28Boxmoor","River Bulbourne at Boxmoor","The River Bulbourne at Boxmoor, Hemel Hempstead","172716","16","A","Flood Warning","Hertfordshire and North London","2022-11-02","2022-11-02"
"052WAFRHEE","River Rhee in Central Bedfordshire, Hertfordshire and Cambridgeshire","River Rhee from Guilden Morden to Haslingfield","212120","2","A","Flood Alert","East Anglia","2016-03-22","2016-07-06"
"053WAF100RUA","Rase and Upper Ancholme","River Rase and tributaries from Market Rasen to Bishopbridge and the River Ancholme down to Bishopbridge","207001","7","A","Flood Alert","Lincolnshire and Northamptonshire","2017-05-31","2017-08-02"
